YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1939,-3.18,-0.83,0.07,5.84,13.17,18.27,22.02,22.65,17.54,11.55,3.90,0.00,-1.23,6.36,20.98,11.00,9.28
1940,-5.89,-2.24,-0.04,5.83,12.96,17.96,21.61,19.64,16.83,9.54,5.09,0.50,-2.71,6.25,19.74,10.49,8.44
1941,-4.69,-2.34,0.16,10.33,14.96,19.66,21.51,20.84,18.33,12.54,7.89,0.99,-2.18,8.48,20.67,12.92,9.97
1942,-2.80,-3.75,4.25,9.22,15.55,19.25,21.30,20.93,17.52,12.43,5.38,-2.72,-1.85,9.67,20.49,11.78,10.02
1943,-4.51,-1.76,1.54,5.71,13.74,21.34,22.99,21.12,16.61,11.32,5.27,-2.13,-3.00,7.00,21.82,11.07,9.22
1944,-1.52,-2.27,0.53,6.40,16.83,18.93,22.78,23.11,17.70,11.31,5.16,-1.53,-1.97,7.92,21.61,11.39,9.74
1945,-5.52,-1.77,7.23,10.80,12.43,18.73,21.78,21.01,18.90,10.91,6.46,-2.74,-2.94,10.15,20.51,12.09,9.95
1946,-2.93,-3.38,7.72,7.29,13.92,19.22,21.17,19.30,18.19,13.90,7.75,0.75,-3.02,9.64,19.90,13.28,9.95
1947,-0.64,-2.29,2.51,7.78,13.31,18.11,23.16,22.29,17.58,15.59,4.04,-1.76,-0.73,7.87,21.19,12.40,10.18
1948,-5.75,-4.00,2.60,8.27,12.30,17.10,23.15,22.58,18.07,11.58,8.73,1.54,-3.84,7.72,20.94,12.79,9.41
1949,0.55,0.40,3.30,9.87,15.30,21.50,24.15,22.98,16.67,13.88,5.33,1.83,0.83,9.49,22.88,11.96,11.29
1950,1.34,-3.21,0.19,7.56,12.69,20.09,22.64,20.97,15.76,12.77,7.72,1.02,-0.01,6.81,21.23,12.08,10.03
1951,0.13,0.48,3.18,9.95,14.58,18.38,22.83,20.86,18.05,11.86,4.81,0.81,0.54,9.24,20.69,11.57,10.51
1952,-0.68,-0.73,2.17,9.64,13.47,20.97,24.82,21.75,18.44,10.85,6.10,1.21,-0.20,8.43,22.51,11.80,10.63
1953,0.52,0.67,3.17,8.74,14.17,20.87,22.42,21.55,18.44,12.55,8.10,3.70,0.80,8.69,21.61,13.03,11.03
1954,-4.29,1.36,3.06,9.43,12.96,18.66,21.81,20.54,16.63,13.94,5.79,0.39,0.26,8.48,20.34,12.12,10.30
1955,-2.90,-1.05,2.35,8.92,16.55,18.75,24.60,22.93,17.42,11.93,4.38,-3.92,-1.19,9.27,22.09,11.24,10.36
1956,-1.81,-0.76,0.14,6.91,12.44,19.94,21.59,21.52,15.51,11.52,6.67,1.28,-2.16,6.50,21.02,11.23,9.15
1957,-5.81,0.44,3.14,9.01,14.94,21.24,22.89,20.02,18.91,11.72,7.27,3.47,-1.36,9.03,21.38,12.63,10.42
1958,-1.62,-4.67,3.13,8.60,13.13,17.13,21.88,21.71,17.40,10.51,6.96,-4.04,-0.94,8.29,20.24,11.62,9.80
1959,-2.83,-3.98,2.02,8.69,16.42,17.52,23.17,22.70,19.39,11.90,5.75,1.45,-3.62,9.04,21.13,12.35,9.73
1960,-1.64,0.71,-0.39,8.38,14.81,20.31,22.26,21.59,16.88,11.29,7.74,-2.35,0.17,7.60,21.39,11.97,10.28
1961,-4.94,-1.29,1.91,6.68,12.91,19.91,21.76,21.79,19.88,13.19,5.84,-0.56,-2.86,7.17,21.15,12.97,9.61
1962,-2.85,-4.00,2.80,8.97,13.40,19.60,20.75,20.38,16.47,11.38,4.23,-2.07,-2.47,8.39,20.24,10.69,9.21
1963,-2.46,-4.51,3.09,8.66,14.59,20.19,23.14,20.57,15.26,14.67,7.92,-4.37,-3.01,8.78,21.30,12.62,9.92
1964,-1.26,-2.71,2.89,7.06,15.09,18.89,21.34,18.37,15.96,10.47,5.52,-0.78,-2.78,8.35,19.53,10.65,8.94
1965,-4.77,-3.32,1.28,6.05,14.68,19.08,21.13,20.66,16.15,10.66,4.41,1.31,-2.96,7.34,20.29,10.41,8.77
1966,-2.88,-1.53,3.47,6.94,13.47,20.17,23.22,21.05,16.74,11.55,7.10,0.20,-1.03,7.96,21.48,11.80,10.05
1967,0.61,-4.24,-0.14,6.43,10.26,18.96,22.21,20.84,16.33,11.14,3.29,0.70,-1.14,5.52,20.67,10.25,8.82
1968,-4.69,-4.44,3.06,9.03,12.76,17.66,23.41,20.74,17.53,13.44,5.39,-1.61,-2.81,8.28,20.60,12.12,9.55
1969,-2.60,-2.55,1.05,9.52,14.05,20.05,21.10,22.73,16.82,11.43,5.98,-0.22,-2.25,8.21,21.29,11.41,9.66
1970,-6.11,-0.96,2.14,8.61,14.64,18.74,22.89,22.32,17.91,11.72,5.87,-2.73,-2.43,8.46,21.32,11.83,9.80
