YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1935,-1.89,-0.64,5.94,10.26,15.62,21.91,25.41,23.98,18.92,14.04,8.72,-1.40,-0.49,10.61,23.77,13.89,11.94
1936,-1.63,-3.86,7.61,9.01,18.12,21.33,24.76,24.56,20.37,14.18,5.40,4.06,-2.30,11.58,23.55,13.32,11.54
1937,4.42,1.37,2.49,9.98,18.37,22.48,24.92,25.17,19.20,12.77,7.51,1.74,3.28,10.28,24.19,13.16,12.73
1938,-0.10,1.98,6.59,12.19,15.93,21.44,24.80,25.54,18.82,15.23,8.73,2.52,1.21,11.57,23.93,14.26,12.74
1939,-0.52,2.66,3.81,8.98,18.29,22.84,24.77,25.53,20.15,13.69,6.12,2.27,1.55,10.36,24.38,13.32,12.40
1940,-4.29,0.01,1.69,8.45,15.95,21.75,24.68,21.90,19.12,11.89,6.95,3.45,-0.67,8.70,22.78,12.65,10.86
1941,-2.08,-1.24,2.10,13.94,18.18,22.47,24.54,23.27,20.94,15.38,9.58,2.97,0.04,11.41,23.43,15.30,12.54
1942,-1.35,-1.72,5.82,11.80,18.58,21.94,24.79,23.19,20.23,14.59,8.11,-0.40,-0.03,12.07,23.31,14.31,12.41
1943,-0.98,1.79,4.79,8.24,16.84,24.99,25.01,24.40,19.79,12.81,6.74,0.01,0.14,9.96,24.80,13.11,12.00
1944,0.83,0.25,3.08,9.48,19.97,22.80,26.19,25.50,21.17,14.00,7.75,0.51,0.36,10.84,24.83,14.31,12.59
1945,-3.59,1.07,10.80,13.33,15.24,21.76,23.75,23.11,21.55,13.53,8.31,-0.92,-0.67,13.12,22.87,14.46,12.45
1946,1.08,-0.78,10.12,10.36,16.49,20.81,24.23,21.67,20.93,16.57,9.96,2.90,-0.21,12.32,22.24,15.82,12.54
1947,3.22,-1.50,2.89,10.10,15.77,20.55,24.02,24.26,20.18,17.42,6.63,0.98,1.54,9.59,22.94,14.74,12.20
1948,-3.88,-0.85,5.43,10.40,15.51,20.64,24.88,23.95,21.09,13.54,11.20,3.33,-1.25,10.45,23.16,15.28,11.91
1949,3.62,3.49,5.87,11.89,17.09,23.31,26.30,24.69,18.84,17.14,7.77,3.93,3.48,11.62,24.77,14.58,13.61
1950,5.21,-0.40,2.23,8.96,14.70,21.09,23.74,22.67,17.94,15.40,8.94,1.42,2.91,8.63,22.50,14.09,12.03
1951,2.30,2.46,5.13,11.52,17.23,20.83,24.72,23.48,19.91,14.63,6.22,3.07,2.06,11.29,23.01,13.59,12.49
1952,2.14,2.15,4.38,12.74,15.76,22.91,26.64,23.58,20.87,12.99,9.01,3.37,2.45,10.96,24.38,14.29,13.02
1953,2.95,3.39,6.10,11.10,17.25,22.84,25.27,24.15,21.13,15.77,9.65,4.99,3.24,11.48,24.09,15.52,13.58
1954,-0.86,4.33,5.10,11.88,15.26,21.79,24.64,22.42,19.47,16.32,7.78,2.18,2.82,10.75,22.95,14.52,12.76
1955,-0.78,1.47,5.37,11.93,18.55,20.47,27.13,25.62,19.88,15.44,6.80,-1.30,0.96,11.95,24.41,14.04,12.84
1956,0.00,2.52,2.97,9.00,14.79,21.89,22.72,23.42,18.22,14.46,8.13,4.90,0.41,8.92,22.68,13.60,11.40
1957,-1.95,2.89,5.49,11.78,17.25,23.46,25.35,23.07,20.88,13.42,9.62,4.54,1.95,11.51,23.96,14.64,13.01
1958,-0.10,-2.58,4.56,11.57,15.02,19.51,24.46,23.94,19.73,13.03,8.83,-1.52,0.62,10.38,22.64,13.86,11.88
1959,-0.45,-0.01,4.46,12.04,19.03,21.73,24.57,25.24,22.34,15.39,7.61,3.49,-0.66,11.84,23.85,15.11,12.54
1960,1.00,2.32,0.71,12.01,16.97,22.07,23.59,23.79,19.95,999.90,999.90,999.90,2.27,9.90,23.15,999.90,12.33
1961,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1962,999.90,999.90,999.90,999.90,17.94,22.42,23.43,22.39,18.25,14.03,6.15,-0.35,999.90,999.90,22.75,12.81,999.90
1963,-1.11,-2.16,6.41,11.98,16.11,21.56,24.59,22.19,17.19,16.50,10.13,-0.54,-1.21,11.50,22.78,14.61,11.92
1964,1.95,0.37,6.11,9.76,18.48,21.93,24.03,22.65,19.45,12.69,9.58,2.37,0.59,11.45,22.87,13.91,12.21
1965,-1.37,0.96,4.37,10.26,19.03,21.08,23.43,22.78,19.62,13.98,8.12,4.62,0.65,11.22,22.43,13.91,12.05
1966,0.03,1.61,5.83,9.73,16.33,24.02,26.39,24.83,19.08,13.31,9.30,1.96,2.09,10.63,25.08,13.90,12.92
