YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1963,-1.60,-3.06,3.91,9.17,14.04,19.85,22.74,20.87,15.45,13.92,8.40,-3.96,-2.15,9.04,21.15,12.59,10.16
1964,-0.69,-2.15,3.32,7.95,15.79,19.16,22.18,19.33,17.03,11.55,7.11,0.73,-2.27,9.02,20.22,11.90,9.72
1965,-3.79,-1.92,2.33,7.54,15.62,19.50,22.11,22.06,17.93,11.24,5.16,1.97,-1.66,8.50,21.22,11.44,9.88
1966,-1.70,-1.07,3.82,6.62,12.49,19.75,22.69,21.58,16.36,10.83,7.58,0.46,-0.27,7.64,21.34,11.59,10.08
1967,1.00,-3.46,0.79,7.15,10.69,19.38,22.74,21.51,17.12,12.09,4.19,1.45,-0.67,6.21,21.21,11.13,9.47
1968,-4.09,-4.08,3.41,10.00,13.23,18.40,22.90,21.51,18.28,13.34,5.83,-0.96,-2.24,8.88,20.94,12.48,10.02
1969,-1.75,-1.78,1.72,9.87,14.32,20.13,21.98,23.54,17.81,11.86,5.81,-0.82,-1.50,8.64,21.88,11.83,10.21
1970,-6.83,-1.49,1.70,8.79,14.59,18.71,23.40,22.43,18.05,12.36,7.10,-1.92,-3.05,8.36,21.51,12.50,9.83
1971,-5.04,-0.59,2.62,7.74,14.50,20.55,23.52,22.83,20.41,15.13,4.68,1.70,-2.52,8.29,22.30,13.41,10.37
1972,-0.64,-2.18,2.47,6.85,14.31,18.32,22.57,21.45,18.42,9.78,4.98,1.33,-0.37,7.88,20.78,11.06,9.84
1973,-0.48,-1.28,6.50,10.03,13.74,21.28,23.10,23.87,17.47,12.37,6.53,3.54,-0.14,10.09,22.75,12.12,11.21
1974,-0.17,-1.67,3.76,10.32,13.11,18.53,22.56,22.55,17.35,9.02,6.52,2.07,0.57,9.06,21.21,10.96,10.45
1975,1.21,-0.84,1.96,6.98,16.34,18.92,23.53,21.88,16.12,12.95,8.92,0.06,0.81,8.43,21.44,12.66,10.84
1976,-4.72,1.96,3.92,11.49,14.44,21.12,21.13,21.15,16.49,9.29,3.31,-3.63,-0.90,9.95,21.13,9.70,9.97
1977,-6.14,-1.23,6.49,10.33,16.26,19.31,23.52,22.78,17.87,11.61,7.72,-0.20,-3.67,11.03,21.87,12.40,10.41
1978,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1979,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,17.48,11.34,8.74,2.67,999.90,999.90,999.90,12.52,999.90
1980,-1.58,-3.19,2.55,9.43,15.45,17.77,23.45,22.69,17.95,9.58,4.67,-2.22,-0.70,9.14,21.30,10.73,10.12
1981,-6.80,2.71,3.41,10.46,14.41,20.50,23.92,20.80,16.59,9.23,5.84,-0.77,-2.10,9.43,21.74,10.55,9.90
1982,-6.14,-0.54,3.50,8.48,14.64,17.43,22.83,20.39,17.54,11.47,8.32,3.37,-2.48,8.87,20.22,12.44,9.76
1983,-0.65,0.21,4.34,9.64,13.51,20.93,24.49,23.19,20.59,12.67,7.50,-0.01,0.98,9.16,22.87,13.59,11.65
1984,-3.40,2.56,0.67,8.38,13.79,20.30,21.61,22.77,16.44,13.18,6.14,2.95,-0.28,7.61,21.56,11.92,10.20
1985,-5.56,-0.24,4.50,10.28,15.37,17.93,22.51,21.43,18.13,12.25,7.41,-1.17,-0.95,10.05,20.62,12.60,10.58
1986,-0.81,-1.96,4.10,9.39,14.91,18.78,21.37,20.41,16.50,11.37,5.04,1.60,-1.31,9.47,20.19,10.97,9.83
1987,-1.96,-2.20,4.03,8.81,14.85,19.90,22.02,20.62,17.63,10.50,5.82,1.42,-0.85,9.23,20.85,11.32,10.13
1988,-3.17,-0.40,3.83,8.06,14.14,19.08,23.18,23.73,16.94,9.08,7.03,-0.06,-0.72,8.68,22.00,11.02,10.24
1989,0.69,-1.43,2.77,7.58,14.86,20.09,22.09,21.99,18.19,11.95,5.54,-5.95,-0.27,8.40,21.39,11.89,10.36
1990,2.10,0.98,4.20,8.65,13.05,19.51,22.47,22.77,17.31,14.46,7.75,3.89,-0.96,8.63,21.58,13.17,10.61
1991,-1.60,1.41,4.85,10.70,17.44,20.46,23.15,22.80,17.00,13.12,7.14,2.07,1.23,11.00,22.14,12.42,11.70
1992,-0.62,0.29,2.25,7.75,13.94,19.33,21.00,20.86,17.48,10.67,5.80,0.92,0.58,7.98,20.40,11.32,10.07
1993,-0.61,-3.47,1.80,9.46,16.28,20.41,23.33,22.94,18.09,10.54,6.39,0.63,-1.05,9.18,22.23,11.67,10.51
1994,-5.46,-3.74,3.49,10.46,13.31,20.47,24.24,20.75,16.91,12.05,8.89,3.28,-2.86,9.09,21.82,12.62,10.17
1995,1.94,-1.76,4.82,8.83,13.76,19.88,24.04,22.77,16.83,13.58,4.57,-1.48,1.15,9.14,22.23,11.66,11.04
1996,-1.82,-1.31,1.65,9.09,14.11,20.04,21.71,21.67,17.84,11.16,4.44,3.64,-1.54,8.28,21.14,11.15,9.76
1997,-1.50,2.49,3.21,8.41,12.99,20.07,23.16,21.43,17.78,10.97,5.00,1.21,1.54,8.20,21.55,11.25,10.64
1998,1.73,2.78,5.12,9.87,16.15,18.85,23.05,22.94,19.07,12.29,6.38,3.60,1.91,10.38,21.61,12.58,11.62
1999,-0.98,1.58,4.39,9.97,15.44,21.38,24.75,22.22,19.16,11.32,8.52,2.69,1.40,9.93,22.78,13.00,11.78
2000,-2.38,1.13,6.39,8.51,14.73,19.86,21.37,21.21,17.42,11.92,6.34,-1.73,0.48,9.88,20.81,11.89,10.77
2001,-1.67,-0.08,2.41,9.49,15.63,21.40,21.03,23.48,18.25,12.33,8.68,4.04,-1.16,9.18,21.97,13.09,10.77
2002,1.79,1.98,4.54,10.56,13.69,19.08,24.21,24.04,19.90,11.62,6.04,0.56,2.60,9.60,22.44,12.52,11.79
2003,-3.85,-3.24,3.51,7.47,12.89,18.48,23.08,23.80,19.06,10.97,8.09,2.25,-2.18,7.96,21.79,12.71,10.07
2004,-5.90,0.56,3.97,9.77,15.15,19.27,21.95,21.81,18.55,11.78,6.38,1.31,-1.03,9.63,21.01,12.24,10.46
